query_video_path,edit_text,target_video_path,top1,top2,top3
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_971_980.mp4,Shake it.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_897_906.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1004-551_1012-551.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1004-551_1012-551.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1024-054_1032-054.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_897_906.mp4,Take it instead.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_971_980.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_898-388_906-388.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_1036-321_1044-321.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d1d1b6da-e7f8-48e7-9ee4-d8382582695a/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_898-388_906-388.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_298_307.mp4,Transfer it to the tray.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_243_252.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_317-854_325-854.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_317-854_325-854.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_371-354_379-354.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_317-854_325-854.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_371-354_379-354.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_313-921_321-921.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_243_252.mp4,Place it on the floor.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_298_307.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_298_307.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_298_307.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_274-654_282-654.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_298_307.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_274-654_282-654.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/33052ab8-d0af-414c-8655-3046c6990f3c/33052ab8-d0af-414c-8655-3046c6990f3c_371-354_379-354.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824.mp4,Hold the mouse instead.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2031-254_2039-254.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2031-254_2039-254.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1878-954_1886-954.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2031-254_2039-254.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1878-954_1886-954.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2050_2059.mp4,Switch to the mouse.,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018.mp4,/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1878-954_1886-954.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1878-954_1886-954.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2060-221_2068-221.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1878-954_1886-954.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2060-221_2068-221.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018.mp4,Type instead.,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_2050_2059.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824.mp4",/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1853-988_1861-988.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1853-988_1861-988.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1961-225_1969-225.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1853-988_1861-988.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/124d8745-52d7-464c-bb46-65b96bbdcffa/124d8745-52d7-464c-bb46-65b96bbdcffa_1961-225_1969-225.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138.mp4,Pick up the cup.,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74.mp4",/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_74-521_82-521.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_74-521_82-521.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_239-854_247-854.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153.mp4,Pick up the cup.,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74.mp4",/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_74-521_82-521.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_67-221_75-221.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_74-521_82-521.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_239-854_247-854.mp4"
/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179.mp4,Type instead.,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153.mp4",/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138.mp4,"/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129-988_137-988.mp4","/hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129-988_137-988.mp4, /hetu_group/dingzhixiang/pythonproject/ZSCVR/ZSCVR-V1/benchmark/egocvr/egocvr_clips/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24/d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153.mp4"
